,FIPS,target
0,01001,0
1,01011,0
2,01047,0
3,01051,0
4,01063,0
5,01065,0
6,01085,0
7,01087,0
8,01091,0
9,01101,0
10,01105,0
11,01119,0
12,01003,0
13,01013,0
14,01023,0
15,01025,0
16,01035,0
17,01053,0
18,01097,0
19,01099,0
20,01129,0
21,01131,0
22,01009,0
23,01015,1
24,01019,0
25,01029,0
26,01043,0
27,01055,1
28,01071,0
29,01095,0
30,01033,0
31,01059,0
32,01077,0
33,01079,0
34,01083,1
35,01089,1
36,01093,0
37,01103,0
38,01133,0
39,01007,0
40,01017,0
41,01021,0
42,01027,0
43,01037,0
44,01057,0
45,01073,0
46,01075,0
47,01081,0
48,01107,0
49,01111,0
50,01117,0
51,01121,1
52,01123,0
53,01125,0
54,01127,0
55,01005,0
56,01031,0
57,01039,0
58,01041,0
59,01045,0
60,01061,0
61,01067,0
62,01069,0
63,01109,1
64,01113,0
65,04001,0
66,04005,0
67,04007,0
68,04015,0
69,04017,0
70,04025,0
71,04003,0
72,04009,0
73,04011,0
74,04013,0
75,04019,0
76,04021,0
77,04023,0
78,04027,0
79,05029,0
80,05045,0
81,05051,0
82,05053,0
83,05059,0
84,05105,0
85,05119,0
86,05125,1
87,05001,0
88,05035,0
89,05037,0
90,05085,0
91,05117,0
92,05147,0
93,05005,0
94,05023,0
95,05049,0
96,05065,0
97,05089,0
98,05129,0
99,05135,0
100,05137,1
101,05141,0
102,05021,0
103,05031,0
104,05055,0
105,05063,1
106,05067,0
107,05075,0
108,05093,0
109,05111,0
110,05121,1
111,05145,0
112,05007,1
113,05009,0
114,05015,0
115,05087,0
116,05101,0
117,05143,0
118,05011,0
119,05013,0
120,05019,0
121,05025,0
122,05027,0
123,05039,0
124,05099,0
125,05103,0
126,05139,0
127,05003,0
128,05017,0
129,05041,0
130,05043,0
131,05069,0
132,05079,0
133,05057,0
134,05061,0
135,05081,0
136,05091,0
137,05097,0
138,05109,0
139,05133,0
140,05033,0
141,05047,0
142,05071,0
143,05083,0
144,05113,0
145,05115,0
146,05127,0
147,05131,0
148,05149,0
149,06001,0
150,06013,0
151,06033,0
152,06041,1
153,06053,0
154,06055,0
155,06069,0
156,06075,0
157,06079,0
158,06081,1
159,06085,0
160,06087,0
161,06097,0
162,06035,0
163,06049,0
164,06063,0
165,06015,0
166,06023,0
167,06045,0
168,06007,0
169,06011,0
170,06021,0
171,06067,0
172,06095,0
173,06101,0
174,06103,0
175,06113,0
176,06115,0
177,06019,0
178,06029,0
179,06031,0
180,06039,0
181,06047,0
182,06077,0
183,06099,0
184,06107,0
185,06003,0
186,06005,0
187,06009,1
188,06017,0
189,06027,0
190,06043,0
191,06057,0
192,06061,0
193,06091,0
194,06109,0
195,06089,0
196,06093,0
197,06105,0
198,06025,0
199,06037,0
200,06059,0
201,06065,0
202,06071,0
203,06073,0
204,06083,0
205,06111,0
206,08001,0
207,08005,0
208,08031,0
209,08035,0
210,08041,0
211,08039,0
212,08063,0
213,08073,0
214,08095,0
215,08121,0
216,08125,0
217,08013,1
218,08059,0
219,08069,0
220,08075,0
221,08087,0
222,08115,0
223,08123,0
224,08015,0
225,08019,0
226,08037,0
227,08049,0
228,08051,0
229,08081,0
230,08093,0
231,08097,0
232,08103,0
233,08107,0
234,08119,0
235,08003,0
236,08021,0
237,08023,0
238,08105,0
239,08109,0
240,08009,0
241,08011,0
242,08025,0
243,08027,0
244,08043,0
245,08055,0
246,08071,0
247,08101,0
248,08007,0
249,08029,0
250,08033,0
251,08045,0
252,08067,0
253,08077,0
254,08083,0
255,08085,0
256,08091,0
257,08113,0
258,10001,0
259,10003,0
260,10005,0
261,12001,0
262,12007,0
263,12017,0
264,12019,0
265,12035,0
266,12041,1
267,12053,0
268,12057,0
269,12069,0
270,12075,0
271,12083,0
272,12095,0
273,12097,0
274,12101,0
275,12103,0
276,12105,0
277,12107,0
278,12117,0
279,12109,0
280,12119,0
281,12125,1
282,12127,0
283,12003,0
284,12023,0
285,12029,0
286,12031,1
287,12047,0
288,12067,0
289,12079,0
290,12089,0
291,12121,1
292,12123,0
293,12005,1
294,12013,1
295,12033,1
296,12037,0
297,12039,1
298,12045,0
299,12059,0
300,12063,0
301,12065,1
302,12073,0
303,12077,0
304,12091,0
305,12113,0
306,12129,0
307,12131,0
308,12133,0
309,12009,0
310,12011,0
311,12015,0
312,12021,0
313,12043,0
314,12049,0
315,12051,0
316,12055,0
317,12061,1
318,12071,0
319,12081,0
320,12085,0
321,12086,0
322,12087,0
323,12093,0
324,12099,0
325,12115,0
326,12111,0
327,13009,0
328,13021,0
329,13023,0
330,13035,0
331,13079,0
332,13091,0
333,13133,1
334,13141,0
335,13153,0
336,13159,0
337,13167,0
338,13169,0
339,13175,0
340,13207,1
341,13209,0
342,13211,0
343,13217,0
344,13225,1
345,13235,1
346,13237,0
347,13247,0
348,13265,0
349,13283,0
350,13289,0
351,13303,0
352,13319,0
353,13031,0
354,13033,0
355,13043,0
356,13073,0
357,13103,0
358,13107,0
359,13163,0
360,13165,1
361,13189,0
362,13245,0
363,13251,0
364,13301,0
365,13013,1
366,13057,0
367,13059,1
368,13067,1
369,13085,0
370,13111,0
371,13117,0
372,13121,0
373,13123,0
374,13135,0
375,13139,1
376,13157,1
377,13187,1
378,13219,1
379,13227,1
380,13281,0
381,13291,0
382,13297,0
383,13311,0
384,13011,1
385,13105,0
386,13119,1
387,13137,1
388,13147,0
389,13181,0
390,13195,1
391,13221,0
392,13241,1
393,13257,0
394,13317,0
395,13015,1
396,13047,0
397,13055,0
398,13083,1
399,13115,0
400,13129,0
401,13213,0
402,13223,0
403,13233,1
404,13295,0
405,13313,0
406,13003,0
407,13017,0
408,13019,0
409,13027,0
410,13065,0
411,13069,0
412,13071,0
413,13075,1
414,13081,0
415,13093,0
416,13101,0
417,13155,0
418,13161,0
419,13173,1
420,13185,1
421,13277,0
422,13287,0
423,13321,0
424,13001,0
425,13005,0
426,13025,0
427,13039,0
428,13049,0
429,13051,0
430,13109,0
431,13127,0
432,13179,0
433,13183,1
434,13191,0
435,13229,0
436,13267,1
437,13279,0
438,13299,0
439,13305,0
440,13007,0
441,13037,0
442,13061,0
443,13087,0
444,13099,0
445,13131,0
446,13177,1
447,13205,1
448,13253,1
449,13259,0
450,13261,0
451,13273,0
452,13275,0
453,13045,0
454,13063,1
455,13077,0
456,13097,1
457,13113,1
458,13143,0
459,13145,0
460,13149,0
461,13151,0
462,13171,1
463,13193,0
464,13197,0
465,13199,0
466,13231,1
467,13249,0
468,13255,0
469,13263,0
470,13269,0
471,13285,0
472,13293,0
473,15001,0
474,15007,0
475,15003,0
476,16005,0
477,16007,0
478,16011,0
479,16019,0
480,16029,0
481,16037,0
482,16041,0
483,16043,0
484,16051,0
485,16059,0
486,16065,0
487,16071,0
488,16077,0
489,16081,0
490,16009,0
491,16017,0
492,16021,0
493,16035,0
494,16049,0
495,16055,0
496,16057,0
497,16061,0
498,16069,0
499,16079,0
500,16013,0
501,16025,0
502,16031,0
503,16047,0
504,16053,0
505,16067,0
506,16083,0
507,16001,0
508,16003,0
509,16015,0
510,16027,0
511,16039,0
512,16045,0
513,16073,0
514,16075,0
515,16087,0
516,17039,0
517,17107,0
518,17115,0
519,17123,0
520,17125,0
521,17113,0
522,17129,0
523,17143,0
524,17175,0
525,17179,0
526,17203,0
527,17019,0
528,17053,0
529,17075,0
530,17091,0
531,17105,0
532,17147,0
533,17183,0
534,17023,0
535,17025,0
536,17029,0
537,17033,0
538,17035,1
539,17041,0
540,17045,0
541,17049,0
